host_epoch_ns,host_monotonic_ns,source_ip,session,seq,device_ms,frame_id,loop_dt_ms,fps,detect_ms,measured,valid,coasting,track_x,track_y,measurement_x,measurement_y,measurement_radius,radius,position,position_px,error_px,lateral_px,velocity_px_s,quality,position_rejects,lateral_rejects,fixture_rejects,quality_rejects,jump_rejects,hits,misses,raw_blob_count,circle_count,candidate_count,candidates,local_search,fell_back,axis_x0,axis_y0,axis_x1,axis_y1,roi_x,roi_y,roi_w,roi_h,pipe_measured,pipe_valid,pipe_age_frames,pipe_blob_count,pipe_length,pipe_width,pipe_score
1785393812760147500,107083512256800,10.16.6.1,0015bb37,500,16351,906,49,47.52,12,True,True,False,368.034,110.599,368.033,110.619,8.25,8.25,0.935,316.029,147,-1,0.0,59.41,0,0,0,0,0,907,0,5,0,1,"[[370.742, 110.653, 8.25, 59.41]]",True,False,52.014,107.892,389.986,112.108,48,95,347,31,False,True,1,0,179.011,22.036,1990.7
1785393812794294600,107083546404300,10.16.6.1,0015bb37,501,16388,907,37,45.47,12,True,True,False,368.034,110.547,368.035,110.504,8.25,8.25,0.935,316.029,147,-1,0.0,60.979,0,0,0,0,0,908,0,5,0,1,"[[370.649, 110.537, 8.25, 60.979]]",True,False,52.014,107.892,389.986,112.108,48,95,347,31,False,True,2,0,179.011,22.036,1990.7
1785393812831531900,107083583641800,10.16.6.1,0015bb37,502,16419,908,31,43.41,16,True,True,False,368.034,110.531,368.035,110.518,8.25,8.25,0.935,316.029,147,-1,0.0,59.41,0,0,0,0,0,909,0,5,0,1,"[[370.792, 110.552, 8.25, 59.41]]",True,False,52.014,107.892,389.986,112.108,48,95,347,31,False,True,3,0,179.011,22.036,1990.7
1785393812866186500,107083618296700,10.16.6.1,0015bb37,503,16458,909,39,41.35,13,True,True,False,368.034,110.554,368.034,110.573,8.25,8.25,0.935,316.029,147,-1,0.0,60.979,0,0,0,0,0,910,0,5,0,1,"[[370.755, 110.607, 8.25, 60.979]]",True,False,52.014,107.892,389.986,112.108,48,95,347,31,False,True,4,0,179.011,22.036,1990.7
1785393812914314500,107083666423400,10.16.6.1,0015bb37,504,16487,910,29,38.83,31,True,True,False,368.034,110.529,368.034,110.508,8.25,8.25,0.935,316.029,147,-1,0.0,60.979,0,0,0,0,0,911,0,5,0,1,"[[370.811, 110.541, 8.25, 60.979]]",True,False,52.012,108.026,389.988,111.974,48,95,347,31,True,True,0,2,179.011,22.036,1988.75
1785393812948439600,107083700550100,10.16.6.1,0015bb37,505,16535,911,48,37.55,13,True,True,False,368.034,110.505,368.034,110.486,8.25,8.25,0.935,316.029,147,-1,0.0,62.033,0,0,0,0,0,912,0,5,0,1,"[[370.695, 110.517, 8.25, 62.033]]",True,False,52.012,108.026,389.988,111.974,48,95,347,31,False,True,1,0,179.011,22.036,1988.75
1785393812981430000,107083733539600,10.16.6.1,0015bb37,506,16572,912,37,36.32,11,True,True,False,368.033,110.584,368.032,110.649,8.25,8.25,0.935,316.029,147,-1,0.0,60.455,0,0,0,0,0,913,0,5,0,1,"[[370.739, 110.68, 8.25, 60.455]]",True,False,52.012,108.026,389.988,111.974,48,95,347,31,False,True,2,0,179.011,22.036,1988.75
1785393813013754700,107083765864300,10.16.6.1,0015bb37,507,16606,913,34,34.96,12,True,True,False,368.033,110.574,368.033,110.565,8.25,8.25,0.935,316.029,147,-1,0.0,60.979,0,0,0,0,0,914,0,5,0,1,"[[370.747, 110.597, 8.25, 60.979]]",True,False,52.012,108.026,389.988,111.974,48,95,347,31,False,True,3,0,179.011,22.036,1988.75
1785393813050562200,107083802672000,10.16.6.1,0015bb37,508,16640,914,34,33.69,13,True,True,False,368.033,110.582,368.033,110.589,8.25,8.25,0.935,316.029,147,-1,0.0,61.505,0,0,0,0,0,915,0,5,0,1,"[[370.651, 110.62, 8.25, 61.505]]",True,False,52.012,108.026,389.988,111.974,48,95,347,31,False,True,4,0,179.011,22.036,1988.75
1785393813100549800,107083852659000,10.16.6.1,0015bb37,509,16677,915,37,31.75,28,True,True,False,368.037,110.548,368.037,110.52,8.0,8.07,0.935,316.029,147,-2,0.0,61.717,0,0,0,0,0,916,0,5,0,1,"[[370.865, 110.56, 8.0, 61.717]]",True,False,52.018,107.559,389.982,112.441,48,95,347,31,True,True,0,1,179.025,21.023,2059.655
1785393813136932100,107083889041700,10.16.6.1,0015bb37,510,16727,916,50,30.81,14,True,True,False,368.037,110.52,368.038,110.497,8.25,8.2,0.935,316.029,147,-2,0.0,62.033,0,0,0,0,0,917,0,5,0,1,"[[370.599, 110.534, 8.25, 62.033]]",True,False,52.018,107.559,389.982,112.441,48,95,347,31,False,True,1,0,179.025,21.023,2059.655
1785393813170821800,107083922931500,10.16.6.1,0015bb37,511,16764,917,37,29.75,12,True,True,False,368.037,110.544,368.037,110.563,8.0,8.056,0.935,316.029,147,-2,0.0,63.912,0,0,0,0,0,918,0,5,0,1,"[[370.708, 110.602, 8.0, 63.912]]",True,False,52.018,107.559,389.982,112.441,48,95,347,31,False,True,2,0,179.025,21.023,2059.655
1785393813206172800,107083958282000,10.16.6.1,0015bb37,512,16798,918,34,28.81,15,True,True,False,368.037,110.546,368.037,110.549,8.25,8.196,0.935,316.029,147,-2,0.0,63.091,0,0,0,0,0,919,0,5,0,1,"[[370.584, 110.585, 8.25, 63.091]]",True,False,52.018,107.559,389.982,112.441,48,95,347,31,False,True,3,0,179.025,21.023,2059.655
1785393813247000200,107083999109500,10.16.6.1,0015bb37,513,16835,919,37,27.78,14,True,True,False,368.037,110.569,368.036,110.587,8.25,8.235,0.935,316.029,147,-2,0.0,62.033,0,0,0,0,0,920,0,5,0,1,"[[370.578, 110.624, 8.25, 62.033]]",True,False,52.018,107.559,389.982,112.441,48,95,347,31,False,True,4,0,179.025,21.023,2059.655
1785393813296731200,107084048841000,10.16.6.1,0015bb37,514,16872,920,37,27.17,32,True,True,False,368.038,110.596,368.038,110.619,8.25,8.246,0.935,316.029,147,-2,0.0,60.979,0,0,0,0,0,921,0,5,0,1,"[[370.692, 110.661, 8.25, 60.979]]",True,False,52.021,107.348,389.979,112.652,48,95,347,31,True,True,0,2,179.025,22.022,1992.234
1785393813330000500,107084082110300,10.16.6.1,0015bb37,515,16923,921,51,26.93,13,True,True,False,368.04,110.525,368.04,110.467,8.25,8.249,0.935,316.029,147,-2,0.0,60.455,0,0,0,0,0,922,0,5,0,1,"[[370.81, 110.511, 8.25, 60.455]]",True,False,52.021,107.348,389.979,112.652,48,95,347,31,False,True,1,0,179.025,22.022,1992.234
1785393813367848100,107084119957800,10.16.6.1,0015bb37,516,16957,922,34,26.92,16,True,True,False,368.04,110.507,368.04,110.492,8.25,8.25,0.935,316.029,147,-2,0.0,61.505,0,0,0,0,0,923,0,5,0,1,"[[370.792, 110.536, 8.25, 61.505]]",True,False,52.021,107.348,389.979,112.652,48,95,347,31,False,True,2,0,179.025,22.022,1992.234
1785393813403798600,107084155908400,10.16.6.1,0015bb37,517,16996,923,39,26.56,12,True,True,False,368.041,110.454,368.041,110.411,8.25,8.25,0.935,316.029,147,-2,0.0,61.505,0,0,0,0,0,924,0,5,0,1,"[[370.631, 110.452, 8.25, 61.505]]",True,False,52.021,107.348,389.979,112.652,48,95,347,31,False,True,3,0,179.025,22.022,1992.234
1785393813439593200,107084191703000,10.16.6.1,0015bb37,518,17032,924,36,25.96,19,True,True,False,368.04,110.484,368.04,110.509,8.25,8.25,0.935,316.029,147,-2,0.0,62.033,0,0,0,0,0,925,0,5,0,1,"[[370.724, 110.551, 8.25, 62.033]]",True,False,52.021,107.348,389.979,112.652,48,95,347,31,False,True,4,0,179.025,22.022,1992.234
1785393813494109000,107084246218500,10.16.6.1,0015bb37,520,17069,925,37,25.88,31,True,True,False,368.042,110.461,368.042,110.443,8.0,8.07,0.935,316.03,147,-2,0.0,60.629,0,0,0,0,0,926,0,5,0,1,"[[370.827, 110.488, 8.0, 60.629]]",True,False,52.023,107.253,389.977,112.747,48,95,347,31,True,True,0,2,179.025,22.022,1992.234
