source_line,host_epoch_ns,seq,seq_gap,mcu_ms,motor_position,angle_x_x10,angle_x_deg,angle_y_x10,angle_y_deg,angle_z_x10,angle_z_deg,imu_valid,position_valid,position_status,position_updates,move_direction,move_status,fit_eligible,fit_inlier,fit_residual_deg
1,1785481807001974400,71,0,19526,1823,62,6.2,4,0.4,31,3.1,1,1,0,69,-1,0,1,1,-0.213098
6,1785481807137112400,72,0,19726,1827,62,6.2,4,0.4,30,3.0,1,1,0,70,-1,0,1,1,-0.205089
12,1785481807328475200,73,0,19926,1831,63,6.3,4,0.4,30,3.0,1,1,0,71,-1,0,1,1,-0.097080
18,1785481807510666500,74,0,20126,1835,63,6.3,4,0.4,30,3.0,1,1,0,72,-1,0,1,1,-0.089071
24,1785481807705572100,75,0,20326,1835,64,6.4,4,0.4,30,3.0,1,1,0,73,-1,0,1,1,0.010929
31,1785481807902945900,76,0,20526,1835,64,6.4,4,0.4,30,3.0,1,1,0,74,-1,0,1,1,0.010929
37,1785481808104351500,77,0,20726,1839,64,6.4,4,0.4,30,3.0,1,1,0,75,-1,0,1,1,0.018938
43,1785481808305567600,78,0,20926,1839,64,6.4,4,0.4,30,3.0,1,1,0,76,-1,0,1,1,0.018938
49,1785481808511460000,79,0,21126,1839,65,6.5,3,0.3,30,3.0,1,1,0,77,-1,0,1,1,0.118938
55,1785481808714006600,80,0,21326,1839,65,6.5,3,0.3,30,3.0,1,1,0,78,-1,0,1,1,0.118938
62,1785481808906663900,81,0,21526,1843,65,6.5,3,0.3,30,3.0,1,1,0,79,-1,0,1,1,0.126948
68,1785481809107589300,82,0,21726,1843,65,6.5,3,0.3,30,3.0,1,1,0,80,-1,2,1,1,0.126948
74,1785481809309463200,83,0,21926,1843,63,6.3,3,0.3,29,2.9,1,1,1,81,1,0,1,1,-0.073052
81,1785481809527244100,84,0,22126,1843,13,1.3,3,0.3,1,0.1,1,1,1,81,1,0,1,0,-5.073052
87,1785481809738638800,85,0,22326,1843,-70,-7.0,-10,-1.0,-45,-4.5,1,1,1,81,1,0,1,0,-13.373052
94,1785481809921217700,86,0,22526,9207,-80,-8.0,-11,-1.1,-50,-5.0,1,1,0,82,1,0,1,1,0.371633
100,1785481810120478600,87,0,22726,9207,-81,-8.1,-11,-1.1,-50,-5.0,1,1,0,83,1,0,1,1,0.271633
106,1785481810320372600,88,0,22926,9207,-82,-8.2,-11,-1.1,-51,-5.1,1,1,0,84,1,0,1,1,0.171633
112,1785481810529539200,89,0,23126,9207,-83,-8.3,-11,-1.1,-51,-5.1,1,1,0,85,1,0,1,1,0.071633
118,1785481810714454300,90,0,23326,9207,-84,-8.4,-11,-1.1,-51,-5.1,1,1,0,86,1,0,1,1,-0.028367
125,1785481810945234600,91,0,23526,9207,-84,-8.4,-11,-1.1,-51,-5.1,1,1,0,87,1,2,1,1,-0.028367
130,1785481811141027000,92,0,23726,9207,-85,-8.5,-12,-1.2,-51,-5.1,1,1,0,88,-1,0,1,1,-0.128367
137,1785481811345880100,93,0,23926,7438,-39,-3.9,-5,-0.5,-26,-2.6,1,1,0,89,-1,0,1,0,0.929625
143,1785481811548302900,94,0,24126,3186,48,4.8,3,0.3,22,2.2,1,1,0,90,-1,0,1,0,1.115991
148,1785481811710998600,95,0,24326,1821,62,6.2,3,0.3,31,3.1,1,1,0,91,-1,0,1,1,-0.217102
155,1785481811923549900,96,0,24526,1821,62,6.2,3,0.3,30,3.0,1,1,0,92,-1,0,1,1,-0.217102
161,1785481812122805500,97,0,24726,1827,63,6.3,3,0.3,30,3.0,1,1,0,93,-1,0,1,1,-0.105089
168,1785481812328259100,98,0,24926,1827,63,6.3,3,0.3,30,3.0,1,1,1,94,-1,0,1,1,-0.105089
174,1785481812529096200,99,0,25126,1827,64,6.4,3,0.3,30,3.0,1,1,1,94,-1,0,1,1,-0.005089
180,1785481812740288100,100,0,25326,1835,64,6.4,3,0.3,30,3.0,1,1,0,95,-1,0,1,1,0.010929
187,1785481812929218100,101,0,25526,1835,64,6.4,3,0.3,30,3.0,1,1,0,96,-1,0,1,1,0.010929
193,1785481813115501600,102,0,25726,1835,64,6.4,3,0.3,30,3.0,1,1,0,97,-1,0,1,1,0.010929
199,1785481813320004900,103,0,25926,1839,65,6.5,3,0.3,30,3.0,1,1,0,98,-1,0,1,1,0.118938
205,1785481813520972100,104,0,26126,1839,65,6.5,3,0.3,30,3.0,1,1,0,99,-1,0,1,1,0.118938
211,1785481813738967100,105,0,26326,1839,65,6.5,3,0.3,30,3.0,1,1,0,100,-1,0,1,1,0.118938
218,1785481813932627000,106,0,26526,1839,65,6.5,3,0.3,29,2.9,1,1,0,101,-1,0,1,1,0.118938
224,1785481814119666500,107,0,26726,1843,65,6.5,3,0.3,29,2.9,1,1,0,102,-1,0,1,1,0.126948
230,1785481814322839800,108,0,26926,1843,65,6.5,3,0.3,29,2.9,1,1,0,103,-1,2,1,1,0.126948
236,1785481814523915300,109,0,27126,1843,53,5.3,3,0.3,22,2.2,1,1,0,104,1,0,1,0,-1.073052
242,1785481814724250800,110,0,27326,3581,-35,-3.5,-5,-0.5,-27,-2.7,1,1,0,105,1,0,1,0,-6.393114
249,1785481814924377200,111,0,27526,7819,-80,-8.0,-12,-1.2,-51,-5.1,1,1,0,106,1,0,1,0,-2.407512
256,1785481815128212200,112,0,27726,9207,-83,-8.3,-12,-1.2,-53,-5.3,1,1,0,107,1,0,1,1,0.071633
262,1785481815327322100,113,0,27926,9207,-83,-8.3,-11,-1.1,-53,-5.3,1,1,1,107,1,0,1,1,0.071633
268,1785481815527532400,114,0,28126,9207,-84,-8.4,-11,-1.1,-53,-5.3,1,1,0,108,1,0,1,1,-0.028367
274,1785481815742697200,115,0,28326,9207,-85,-8.5,-11,-1.1,-53,-5.3,1,1,0,109,1,0,1,1,-0.128367
281,1785481815945298000,116,0,28526,9207,-85,-8.5,-11,-1.1,-53,-5.3,1,1,0,110,1,0,1,1,-0.128367
287,1785481816130173900,117,0,28726,9207,-86,-8.6,-11,-1.1,-53,-5.3,1,1,0,111,1,0,1,1,-0.228367
293,1785481816328295200,118,0,28926,9207,-86,-8.6,-11,-1.1,-53,-5.3,1,1,0,112,1,2,1,1,-0.228367
299,1785481816527368100,119,0,29126,9207,-78,-7.8,-11,-1.1,-49,-4.9,1,1,0,113,-1,0,1,1,0.571633
306,1785481816771318300,120,0,29326,7442,1,0.1,1,0.1,-6,-0.6,1,1,0,114,-1,0,1,0,4.937634
313,1785481816959930000,121,0,29526,3183,59,5.9,5,0.5,27,2.7,1,1,0,115,-1,0,1,0,2.209984
319,1785481817156548600,122,0,29726,1817,61,6.1,4,0.4,28,2.8,1,1,0,116,-1,0,1,1,-0.325111
325,1785481817355339500,123,0,29926,1823,61,6.1,4,0.4,28,2.8,1,1,0,117,-1,0,1,1,-0.313098
331,1785481817540772000,124,0,30126,1827,62,6.2,4,0.4,28,2.8,1,1,0,118,-1,0,1,1,-0.205089
337,1785481817745816700,125,0,30326,1827,63,6.3,4,0.4,28,2.8,1,1,0,119,-1,0,1,1,-0.105089
344,1785481817931939200,126,0,30526,1831,63,6.3,4,0.4,27,2.7,1,1,0,120,-1,0,1,1,-0.097080
350,1785481818153466500,127,0,30726,1835,63,6.3,4,0.4,27,2.7,1,1,0,121,-1,0,1,1,-0.089071
356,1785481818347603700,128,0,30926,1835,64,6.4,4,0.4,27,2.7,1,1,0,122,-1,0,1,1,0.010929
361,1785481818546686800,129,0,31126,1835,64,6.4,4,0.4,27,2.7,1,1,0,123,-1,0,1,1,0.010929
367,1785481818746756800,130,0,31326,1839,64,6.4,4,0.4,27,2.7,1,1,0,124,-1,0,1,1,0.018938
374,1785481818932497600,131,0,31526,1839,65,6.5,4,0.4,27,2.7,1,1,0,125,-1,0,1,1,0.118938
380,1785481819139839700,132,0,31726,1839,65,6.5,4,0.4,27,2.7,1,1,0,126,-1,0,1,1,0.118938
386,1785481819340302600,133,0,31926,1839,65,6.5,4,0.4,27,2.7,1,1,0,127,-1,0,1,1,0.118938
393,1785481819572259000,134,0,32126,1843,65,6.5,3,0.3,27,2.7,1,1,0,128,-1,0,1,1,0.126948
398,1785481819742646100,135,0,32326,1843,65,6.5,3,0.3,27,2.7,1,1,0,129,-1,2,1,1,0.126948
405,1785481819943163600,136,0,32526,1843,57,5.7,3,0.3,22,2.2,1,1,0,130,1,0,1,1,-0.673052
412,1785481820156502400,137,0,32726,3583,-23,-2.3,-2,-0.2,-22,-2.2,1,1,0,131,1,0,1,0,-5.189110
418,1785481820357406200,138,0,32926,7822,-79,-7.9,-12,-1.2,-53,-5.3,1,1,0,132,1,0,1,0,-2.301505
424,1785481820549245300,139,0,33126,9207,-82,-8.2,-12,-1.2,-55,-5.5,1,1,0,133,1,0,1,1,0.171633
430,1785481820757800100,140,0,33326,9207,-83,-8.3,-12,-1.2,-55,-5.5,1,1,0,134,1,0,1,1,0.071633
437,1785481820953012900,141,0,33526,9207,-84,-8.4,-11,-1.1,-55,-5.5,1,1,0,135,1,0,1,1,-0.028367
443,1785481821155634200,142,0,33726,9207,-85,-8.5,-11,-1.1,-55,-5.5,1,1,0,136,1,0,1,1,-0.128367
449,1785481821357223600,143,0,33926,9207,-85,-8.5,-11,-1.1,-55,-5.5,1,1,0,137,1,0,1,1,-0.128367
454,1785481821579067400,144,0,34126,9207,-86,-8.6,-11,-1.1,-55,-5.5,1,1,0,138,1,2,1,1,-0.228367
459,1785481821746520900,145,0,34326,9207,-81,-8.1,-11,-1.1,-53,-5.3,1,1,0,139,-1,0,1,1,0.271633
467,1785481821958080100,146,0,34526,7447,-13,-1.3,-2,-0.2,-16,-1.6,1,1,0,140,-1,0,1,0,3.547645
473,1785481822157112400,147,0,34726,3189,57,5.7,4,0.4,24,2.4,1,1,0,141,-1,0,1,0,2.021997
479,1785481822374426000,148,0,34926,1821,62,6.2,4,0.4,26,2.6,1,1,0,142,-1,0,1,1,-0.217102
485,1785481822556926100,149,0,35126,1821,62,6.2,4,0.4,26,2.6,1,1,0,143,-1,0,1,1,-0.217102
491,1785481822753218600,150,0,35326,1823,62,6.2,4,0.4,26,2.6,1,1,0,144,-1,0,1,1,-0.213098
498,1785481822954761500,151,0,35526,1827,63,6.3,4,0.4,26,2.6,1,1,0,145,-1,0,1,1,-0.105089
504,1785481823156938700,152,0,35726,1831,63,6.3,4,0.4,26,2.6,1,1,0,146,-1,0,1,1,-0.097080
510,1785481823354282300,153,0,35926,1831,64,6.4,4,0.4,25,2.5,1,1,0,147,-1,0,1,1,0.002920
516,1785481823554989700,154,0,36126,1835,64,6.4,4,0.4,25,2.5,1,1,0,148,-1,0,1,1,0.010929
522,1785481823757040600,155,0,36326,1835,64,6.4,4,0.4,25,2.5,1,1,0,149,-1,0,1,1,0.010929
