preview_frame_id,host_epoch_ns,host_monotonic_ns,video_source_epoch_ns,video_pipeline_latency_ms,telemetry_match_delta_ms,sync_offset_ms,decoded_frame_seq,dropped_frames,telemetry_session,telemetry_seq,telemetry_device_ms,tracking_frame_id
0,1785481810990140000,195081742425300,1785481810888900096,101.239904,24.510604,0.0,0,0,000070ca,6368,205077,8100
1,1785481811040632100,195081792917500,1785481810937878016,102.754084,7.356584,0.0,1,0,000070ca,6369,205128,8101
2,1785481811090239200,195081842524400,1785481810987632896,102.606304,2.208604,0.0,2,0,000070ca,6370,205176,8103
3,1785481811140594500,195081892880000,1785481811037988864,102.605636,9.664936,0.0,3,0,000070ca,6372,205233,8105
4,1785481811190936500,195081943222100,1785481811087245056,103.691444,16.317344,0.0,4,0,000070ca,6373,205283,8107
5,1785481811239958000,195081992243000,1785481811136933120,103.02488,4.09388,0.0,5,0,000070ca,6374,205318,8108
6,1785481811290336100,195082042621400,1785481811187599872,102.736228,7.446128,0.0,6,0,000070ca,6376,205377,8110
7,1785481811341205900,195082093491600,1785481811237021952,104.183948,-16.183852,0.0,7,0,000070ca,6377,205409,8111
8,1785481811389622000,195082141907300,1785481811287211008,102.410992,-8.809608,0.0,8,0,000070ca,6379,205466,8113
9,1785481811439994900,195082192280200,1785481811337989120,102.00578,7.89098,0.0,9,0,000070ca,6381,205528,8115
10,1785481811489559900,195082241845400,1785481811387110912,102.448988,-9.292412,0.0,10,0,000070ca,6382,205559,8116
11,1785481811539697100,195082291982400,1785481811436978176,102.718924,8.336224,0.0,11,0,000070ca,6384,205634,8119
12,1785481811589186800,195082341472100,1785481811487278080,101.90872,-9.70038,0.0,12,0,000070ca,6385,205658,8120
13,1785481811639885900,195082392171300,1785481811537010944,102.874956,11.291956,0.0,13,0,000070ca,6387,205735,8123
14,1785481811689482200,195082441767500,1785481811586877952,102.604248,-4.678152,0.0,14,0,000070ca,6388,205760,8124
15,1785481811740129900,195082492415500,1785481811636899840,103.23006,-5.22684,0.0,15,0,000070ca,6390,205824,8126
16,1785481811789428600,195082541713800,1785481811687022080,102.40652,-5.00018,0.0,16,0,000070ca,6391,205865,8128
17,1785481811840250800,195082592536100,1785481811737445120,102.80568,6.15678,0.0,17,0,000070ca,6393,205924,8130
18,1785481811889790200,195082642075300,1785481811786899968,102.890232,-22.711568,0.0,18,0,000070ca,6394,205957,8131
19,1785481811940017600,195082692302600,1785481811837566976,102.450624,8.360624,0.0,19,0,000070ca,6397,206032,8134
20,1785481811990650400,195082742935600,1785481811887067136,103.583264,-16.280536,0.0,20,0,000070ca,6398,206059,8135
21,1785481812039394000,195082791679300,1785481811937700096,101.693904,8.650404,0.0,21,0,000070ca,6400,206133,8138
22,1785481812089450200,195082841735500,1785481811988089088,101.361112,-16.851088,0.0,22,0,000070ca,6401,206159,8139
23,1785481812139609500,195082891894800,1785481812036977920,102.63158,8.27018,0.0,23,0,000070ca,6403,206233,8142
24,1785481812189305600,195082941591000,1785481812086945024,102.360576,-21.290824,0.0,24,0,000070ca,6404,206258,8143
25,1785481812239889200,195082992174400,1785481812137255936,102.633264,8.801664,0.0,25,0,000070ca,6406,206333,8146
26,1785481812289800900,195083042087000,1785481812186810880,102.99002,12.19582,0.0,26,0,000070ca,6408,206382,8148
27,1785481812339313300,195083091598600,1785481812237510912,101.802388,7.121588,0.0,27,0,000070ca,6409,206431,8150
28,1785481812389771400,195083142056700,1785481812286967040,102.80436,16.01676,0.0,28,0,000070ca,6411,206482,8152
29,1785481812439288700,195083191574000,1785481812336844032,102.444668,-8.584932,0.0,29,0,000070ca,6412,206516,8153
30,1785481812489702700,195083241988300,1785481812386910976,102.791724,-13.615776,0.0,30,0,000070ca,6413,206561,8155
31,1785481812540241900,195083292527100,1785481812436955904,103.285996,-9.148304,0.0,31,0,000070ca,6415,206617,8157
32,1785481812589525800,195083341810900,1785481812487045120,102.48068,-14.83912,0.0,32,0,000070ca,6416,206661,8159
33,1785481812640640300,195083392925600,1785481812537288960,103.35134,-8.19276,0.0,33,0,000070ca,6418,206717,8161
34,1785481812690042700,195083442327900,1785481812586899968,103.142732,20.517132,0.0,34,0,000070ca,6420,206783,8164
35,1785481812741824700,195083494110100,1785481812636867072,104.957628,-5.402972,0.0,35,0,000070ca,6421,206817,8165
36,1785481812790619300,195083542904700,1785481812687366912,103.252388,24.265888,0.0,36,0,000070ca,6423,206894,8168
37,1785481812840171500,195083592456800,1785481812737678080,102.49342,2.61002,0.0,37,0,000070ca,6424,206927,8169
38,1785481812889977600,195083642263100,1785481812787777792,102.199808,3.198108,0.0,38,0,000070ca,6426,206976,8171
39,1785481812939365300,195083691650400,1785481812837410816,101.954484,3.641484,0.0,39,0,000070ca,6428,207026,8173
40,1785481812989502100,195083741787500,1785481812887433984,102.068116,6.175316,0.0,40,0,000070ca,6430,207077,8175
41,1785481813039642900,195083791928200,1785481812936989184,102.653716,-7.771084,0.0,41,0,000070ca,6431,207111,8176
42,1785481813089804500,195083842089700,1785481812986967040,102.83746,9.06606,0.0,42,0,000070ca,6433,207183,8179
43,1785481813139102800,195083891388000,1785481813036889088,102.213712,-9.573588,0.0,43,0,000070ca,6434,207209,8180
44,1785481813190902500,195083943187900,1785481813087233024,103.669476,3.030376,0.0,44,0,000070ca,6436,207276,8182
45,1785481813239668000,195083991953200,1785481813136921856,102.746144,-21.420256,0.0,45,0,000070ca,6437,207308,8183
46,1785481813290537100,195084042822500,1785481813187522048,103.015052,6.880552,0.0,46,0,000070ca,6439,207382,8186
47,1785481813339641700,195084091927100,1785481813237032960,102.60874,-22.53006,0.0,47,0,000070ca,6440,207407,8187
48,1785481813392267800,195084144553000,1785481813287555840,104.71196,6.25486,0.0,48,0,000070ca,6442,207477,8190
49,1785481813446931700,195084199216800,1785481813336988928,109.942772,-16.984028,0.0,49,0,000070ca,6443,207508,8191
50,1785481813490585100,195084242870500,1785481813388956160,101.62894,22.27484,0.0,50,0,000070ca,6445,207580,8194
51,1785481813542775200,195084295060400,1785481813439744000,103.0312,3.1317,0.0,51,0,000070ca,6446,207625,8195
52,1785481813591034200,195084343319300,1785481813487456000,103.5782,10.4577,0.0,52,0,000070ca,6448,207685,8197
53,1785481813640390100,195084392675300,1785481813540011008,100.379092,-19.038908,0.0,53,0,000070ca,6449,207712,8198
54,1785481813690597500,195084442882600,1785481813588078080,102.51942,-10.30718,0.0,54,0,000070ca,6450,207758,8200
55,1785481813740931200,195084493216600,1785481813637232896,103.698304,-9.435796,0.0,55,0,000070ca,6452,207816,8202
56,1785481813789925300,195084542210600,1785481813687410944,102.514356,19.792756,0.0,56,0,000070ca,6454,207882,8204
57,1785481813840858000,195084593143300,1785481813737389056,103.468944,1.578044,0.0,57,0,000070ca,6455,207919,8205
58,1785481813890566000,195084642851400,1785481813787267072,103.298928,3.041128,0.0,58,0,000070ca,6457,207974,8207
59,1785481813939393600,195084691678700,1785481813837856000,101.5376,10.994,0.0,59,0,000070ca,6460,208033,8209
60,1785481813990597700,195084742882700,1785481813887599872,102.997828,8.427928,0.0,60,0,000070ca,6461,208081,8211
61,1785481814040085800,195084792370800,1785481813937010944,103.074856,-4.383944,0.0,61,0,000070ca,6462,208111,8212
62,1785481814090327200,195084842612600,1785481813987667200,102.66,3.2703,0.0,62,0,000070ca,6464,208177,8214
63,1785481814139971300,195084892256700,1785481814037511168,102.460132,22.124032,0.0,63,0,000070ca,6466,208249,8217
64,1785481814190396600,195084942682000,1785481814086956032,103.440568,1.535568,0.0,64,0,000070ca,6467,208269,8218
65,1785481814240094900,195084992380400,1785481814136933120,103.16178,-17.26662,0.0,65,0,000070ca,6468,208310,8219
66,1785481814290611700,195085042897200,1785481814187678208,102.933492,8.530192,0.0,66,0,000070ca,6470,208377,8221
67,1785481814339809900,195085092095000,1785481814236967168,102.842732,-12.762468,0.0,67,0,000070ca,6471,208409,8222
68,1785481814389797000,195085142082100,1785481814287589120,102.20788,6.31518,0.0,68,0,000070ca,6473,208466,8224
69,1785481814439712200,195085191997300,1785481814337011200,102.701,-14.1714,0.0,69,0,000070ca,6474,208511,8225
70,1785481814490218900,195085242504200,1785481814387443968,102.774932,7.038332,0.0,70,0,000070ca,6476,208575,8227
71,1785481814540061900,195085292347900,1785481814437021952,103.039948,9.659648,0.0,71,0,000070ca,6478,208633,8229
72,1785481814591251700,195085343536800,1785481814487811072,103.440628,-21.793072,0.0,72,0,000070ca,6479,208659,8230
73,1785481814641181700,195085393467300,1785481814536988928,104.192772,9.822872,0.0,73,0,000070ca,6481,208734,8233
74,1785481814691432000,195085443717300,1785481814587856128,103.575872,-22.215128,0.0,74,0,000070ca,6482,208760,8234
75,1785481814740433300,195085492718600,1785481814638010880,102.42242,7.56882,0.0,75,0,000070ca,6484,208831,8237
76,1785481814790206400,195085542491500,1785481814687889152,102.317248,-23.288152,0.0,76,0,000070ca,6485,208859,8238
77,1785481814840851600,195085593137500,1785481814737345024,103.506576,11.233176,0.0,77,0,000070ca,6487,208936,8241
78,1785481814889713000,195085641998100,1785481814787767040,101.94596,-21.57064,0.0,78,0,000070ca,6488,208960,8242
79,1785481814939766400,195085692051700,1785481814837755904,102.010496,7.641496,0.0,79,0,000070ca,6491,209033,8245
80,1785481814990453400,195085742739100,1785481814887211008,103.242392,-12.943908,0.0,80,0,000070ca,6492,209064,8246
81,1785481815039391000,195085791676200,1785481814936922112,102.468888,10.989788,0.0,81,0,000070ca,6494,209136,8249
82,1785481815089446900,195085841732100,1785481814987643904,101.802996,-21.940404,0.0,82,0,000070ca,6495,209160,8250
83,1785481815139365500,195085891650700,1785481815037244928,102.120572,-4.847528,0.0,83,0,000070ca,6497,209226,8253
84,1785481815189701800,195085941987000,1785481815086932992,102.768808,-9.769192,0.0,84,0,000070ca,6498,209266,8255
85,1785481815238948500,195085991233700,1785481815137043968,101.904532,-8.831768,0.0,85,0,000070ca,6500,209319,8257
86,1785481815289438700,195086041723700,1785481815187000064,102.438636,-15.749364,0.0,86,0,000070ca,6501,209361,8259
87,1785481815339012000,195086091297100,1785481815237122048,101.889952,-4.820348,0.0,87,0,000070ca,6503,209426,8262
88,1785481815389555300,195086141840500,1785481815287045120,102.51018,-6.41362,0.0,88,0,000070ca,6504,209466,8264
89,1785481815440875000,195086193160100,1785481815336999936,103.875064,-9.677836,0.0,89,0,000070ca,6506,209518,8266
90,1785481815490276200,195086242561200,1785481815386877952,103.398248,-10.313752,0.0,90,0,000070ca,6507,209560,8268
91,1785481815539036300,195086291321600,1785481815437689088,101.347212,1.331312,0.0,91,0,000070ca,6509,209627,8271
92,1785481815589212500,195086341497700,1785481815487699968,101.512532,17.832332,0.0,92,0,000070ca,6511,209697,8274
93,1785481815639525000,195086391810300,1785481815536889088,102.635912,-9.356688,0.0,93,0,000070ca,6512,209718,8275
94,1785481815690263800,195086442548900,1785481815586988800,103.275,8.6108,0.0,94,0,000070ca,6514,209784,8278
95,1785481815740011600,195086492296700,1785481815637411072,102.600528,5.980328,0.0,95,0,000070ca,6515,209825,8280
96,1785481815789995600,195086542281000,1785481815687699968,102.295632,22.062032,0.0,96,0,000070ca,6517,209897,8283
97,1785481815838930700,195086591215900,1785481815737334016,101.596684,5.363184,0.0,97,0,000070ca,6518,209925,8284
98,1785481815891689200,195086643974500,1785481815787534080,104.15512,16.89502,0.0,98,0,000070ca,6520,209996,8287
99,1785481815944992300,195086697277700,1785481815836833024,108.159276,-7.824224,0.0,99,0,000070ca,6521,210016,8288
100,1785481815991538800,195086743824100,1785481815888966912,102.571888,22.598488,0.0,100,0,000070ca,6524,210083,8291
101,1785481816039532700,195086791818000,1785481815937978112,101.554588,7.319888,0.0,101,0,000070ca,6525,210127,8292
102,1785481816090228800,195086842514000,1785481815987677952,102.550848,2.572648,0.0,102,0,000070ca,6527,210177,8294
103,1785481816139079900,195086891365300,1785481816037266944,101.812956,-6.970944,0.0,103,0,000070ca,6528,210217,8296
104,1785481816189849000,195086942134000,1785481816087377920,102.47108,7.90588,0.0,104,0,000070ca,6530,210283,8299
105,1785481816239902300,195086992187200,1785481816136989184,102.913116,-6.815284,0.0,105,0,000070ca,6531,210316,8300
106,1785481816290030500,195087042315800,1785481816187643904,102.386596,7.507096,0.0,106,0,000070ca,6533,210383,8303
107,1785481816340108500,195087092393700,1785481816237499904,102.608596,-15.779604,0.0,107,0,000070ca,6534,210408,8304
108,1785481816389299400,195087141584500,1785481816287478016,101.821384,-5.266216,0.0,108,0,000070ca,6536,210476,8307
109,1785481816440073400,195087192358900,1785481816337367040,102.70636,-9.07184,0.0,109,0,000070ca,6537,210519,8309
110,1785481816489650300,195087241935600,1785481816386967040,102.68326,11.67936,0.0,110,0,000070ca,6539,210583,8312
111,1785481816539551300,195087291836600,1785481816437766912,101.784388,18.950088,0.0,111,0,000070ca,6541,210648,8315
112,1785481816590038900,195087342324000,1785481816487444992,102.593908,17.811208,0.0,112,0,000070ca,6542,210697,8317
113,1785481816639861700,195087392146900,1785481816537199872,102.661828,-9.831772,0.0,113,0,000070ca,6543,210718,8318
114,1785481816691077100,195087443362400,1785481816587177984,103.899116,16.234916,0.0,114,0,000070ca,6545,210794,8321
115,1785481816740105700,195087492390900,1785481816637032960,103.07274,-13.60226,0.0,115,0,000070ca,6546,210815,8322
116,1785481816790461100,195087542746200,1785481816687756032,102.705068,8.208368,0.0,116,0,000070ca,6548,210883,8325
117,1785481816840407300,195087592692700,1785481816737245184,103.162116,-21.447284,0.0,117,0,000070ca,6549,210909,8326
